id,name,type,sub_type,description,vertical,c_removal,n_removal_nitrification,n_removal_nitrateremoval,p_removal,pathogens_reduction,raw_domestic_wastewater,pretreated_domestic_wastewater,greywater,secondary_treated_wastewater,river_diluted_wastewater,offices_wastewater,camping_wastewater,cso_discharge_water,rain_water,runoff_water,m2_pe_tropical,m2_pe_dry,m2_pe_temperate,m2_pe_continental,gr_bod_m2_tropical,gr_bod_m2_dry,gr_bod_m2_temperate,gr_bod_m2_continental,es_biodiversity_fauna,es_biodiversity_flora,es_temperature_regulation,es_flood_mitigation,es_cso_mitigation,es_carbon_sequestration,es_biomass_production,es_aesthetic_value,es_recreation,es_pollination,es_food_source,es_water_reuse,es_biosolids,household_building_solutions,energy,inv_es_manpower,inv_es_skills,inv_es_biohazard,module,infiltration,storage_capacity_low,storage_capacity_high,depth,cost_low,cost_high,cost_units
IA_CW,Aerated treatment wetland,CW,IA_CW,CW - Intensified wetlands - Aerated engineered wetland,0,1,1,1,0,1,2,1,1,0,0,2,2,0,0,0,0.33,0.33,0.67,0.33,181.8181818,181.8181818,89.55223881,181.8181818,1,1,0,0,0,1,2,1,1,0,0,3,0,1,1,3,2,3,treatment,NA,NA,NA,NA,NA,NA,NA
AP-FP_PL,Anaerobic + facultative pond,MS,AP+FP_PL,Multistage Wastewater stabilization ponds/lagoons - Anaerobic+Facultative,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,5,5,7,1000000,12,12,8.571428571,6e-5,2,1,1,0,0,0,0,1,1,0,0,2,2,0,0,1,1,2,treatment,NA,NA,NA,NA,NA,NA,NA
AP-FP-MP_PL,Anaerobic + maturation pond,MS,AP+FP+MP_PL,Multistage Wastewater stabilization ponds/lagoons - Anaerobic+Facultative+Maturation,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,5,5,7,1000000,12,12,8.571428571,6e-5,2,1,1,0,0,0,0,1,1,0,0,3,2,0,0,1,1,2,treatment,NA,NA,NA,NA,NA,NA,NA
AP_PL,Anaerobic pond,PL,AP_PL,Wastewater stabilization ponds/lagoons - Anaerobic,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,5,5,7,1000000,12,12,8.571428571,6e-5,2,1,1,0,0,0,0,1,1,0,0,1,2,0,0,1,1,2,treatment,NA,NA,NA,NA,NA,NA,NA
A_HA,Aquaponic system,HA,A_HA,Aquaponics,0,1,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0.5,0.5,0.5,0.5,120,120,120,120,0,0,0,0,0,2,0,1,0,0,3,3,2,1,1,3,3,1,treatment,NA,NA,NA,NA,NA,NA,NA
FP-MP_PL,Facultative + maturation pond,MS,FP+MP_PL,Multistage Wastewater stabilization ponds/lagoons - Facultative+Maturation,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,7,7,10,1000000,8.571428571,8.571428571,6,6e-5,2,1,1,0,0,1,0,1,1,0,0,3,1,0,0,1,1,2,treatment,NA,NA,NA,NA,NA,NA,NA
FP_PL,Facultative pond,PL,FP_PL,Wastewater stabilization ponds/lagoons - Facultative,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,7,7,10,1000000,8.571428571,8.571428571,6,6e-5,2,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,2,treatment,NA,NA,NA,NA,NA,NA,NA
FP_P-L-FWS_CW,Facultative pond + Free water surface flow constructed wetland,MS,FP_P/L+FWS_CW,Multistage Facultative pond + Free Water Surface Constructed Wetland,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,7,7,10,1000000,8.571428571,8.571428571,6,6e-5,2,3,1,2,0,3,2,3,2,2,0,3,1,0,0,2,1,2,treatment,NA,NA,NA,NA,NA,NA,NA
FWS_CW,Free water surface treatment wetland,CW,FWS_CW,CW - Surface flow - Free water systems,0,1,1,1,0,1,0,2,1,1,0,0,0,0,0,0,3,3,6,10,20,20,10,6,3,3,1,2,0,2,3,3,2,2,0,3,0,0,0,2,2,2,treatment,NA,NA,NA,NA,NA,NA,NA
French_CW,French vertical flow treatment wetland,CW,French_CW,CW - Subsurface flow - French reed beds,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0.5,0.5,2,2,120,120,30,30,2,1,0,0,1,1,2,1,1,0,0,3,3,1,0,2,2,3,treatment,NA,NA,NA,NA,NA,NA,NA
GR,Rooftop treatment wetland,GR,GR,CW - subsurface flow - Rooftop wetlands,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,2,10,60,60,30,6,2,3,3,0,2,2,1,3,1,3,1,3,0,1,1,3,3,2,treatment,NA,NA,NA,NA,NA,NA,NA
HF_GW,Horizontal flow green wall,GW,HF_GW,GW - Green wall with horizontal flow,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,7.19,7.19,10.79,25.18,8.34,8.34,5.56,2.383285714,2,3,3,0,0,2,1,3,1,3,1,3,0,1,1,3,3,1,treatment,NA,NA,NA,NA,NA,NA,NA
HSSF_CW,Horizontal flow treatment wetland,CW,HSSF_CW,CW - Subsurface flow - Horizontal flow,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,2,2,3,7,30,30,20,8.571428571,2,1,0,0,0,1,2,1,1,0,0,3,0,1,0,1,1,1,treatment,NA,NA,NA,NA,NA,NA,NA
HSSF_CW-MP_PL,Horizontal flow treatment wetland + maturation pond,MS,HSSF_CW+MP_PL,Multistage Wastewater Subsurface horizontal CW + Maturation pond,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,2,3,7,30,30,20,8.571428571,2,1,1,0,0,1,2,1,1,0,0,3,1,0,0,1,1,2,treatment,NA,NA,NA,NA,NA,NA,NA
H_HA,Hydroponic system,HA,H_HA,Hydroponics,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0.5,0.5,0.5,0.5,120,120,120,120,0,0,0,0,0,2,0,1,0,0,3,3,1,1,1,3,3,1,treatment,NA,NA,NA,NA,NA,NA,NA
I-SRS,In-stream restoration,I-SRS,I-SRS,Instream retention systems,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0.05,0.05,0.05,0.05,1200,1200,1200,1200,3,3,0,3,0,2,1,3,3,0,2,0,0,0,0,1,2,1,treatment,1,0.5,0.5,1.2,NA,NA,NA
MP_PL,Maturation pond,PL,MP_PL,Wastewater stabilization ponds/lagoons - Maturation,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7,7,10,1000000,8.571428571,8.571428571,6,6e-5,2,1,1,0,0,1,0,1,1,0,0,3,1,0,0,1,1,1,treatment,NA,NA,NA,NA,NA,NA,NA
NW,Natural wetland,NW,NW,Natural Wetland,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,3,3,6,10,20,20,10,6,3,3,1,3,3,3,3,3,3,2,3,3,0,0,0,1,1,2,treatment,NA,NA,NA,NA,NA,NA,NA
SIS_S,Rapid-rate soil  infiltration system,SIS,SIS_S,Infiltration or soil-based treatment systems - Slow,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0.5,0.5,0.5,0.5,120,120,120,120,1,1,1,0,1,0,0,1,0,0,0,3,0,1,1,2,2,1,treatment,NA,NA,NA,NA,NA,NA,NA
IRM_CW,Reactive media in treatment wetland,CW,IRM_CW,CW - Intensified wetlands - Reactive Media,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,2,10,60,60,30,6,2,1,0,0,0,1,2,1,1,0,0,3,0,1,0,2,2,1,treatment,NA,NA,NA,NA,NA,NA,NA
R_CW,Reciprocating treatment wetland,CW,R_CW,CW - Intensified wetlands - Recirculation/Tidal,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1.5,1.5,3,15,40,40,20,4,2,1,0,0,0,1,2,1,1,0,0,3,0,1,1,3,2,2,treatment,NA,NA,NA,NA,NA,NA,NA
SIS_R,Slow-rate soil infiltration system,SIS,SIS_R,Infiltration or soil-based treatment systems - Rapid,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0.5,0.5,0.5,0.5,120,120,120,120,1,1,1,0,1,0,0,1,0,0,0,3,0,1,0,1,1,1,treatment,NA,NA,NA,NA,NA,NA,NA
IA_PL,Surface aerated pond,PL,IA_PL,Wastewater stabilization ponds/lagoons - Intensified aeration,0,1,1,0,0,1,1,1,2,1,0,1,1,0,0,0,3,3,5,1000000,20,20,12,6e-5,1,1,0,0,0,1,0,1,1,0,0,3,3,0,1,3,2,3,treatment,NA,NA,NA,NA,NA,NA,NA
CSO_CW,Treatment wetland for CSO,CW,CSO_CW,CW - Subsurface flow - CSO wetlands,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.3,0.3,0.3,0.3,200,200,200,200,2,1,0,0,3,1,2,1,1,0,0,3,0,1,0,2,2,2,treatment,1,0.5,0.5,1.2,NA,NA,NA
VSSF-HSSF_CW,Vertical flow + Horizontal flow treatment wetland,MS,VSSF+HSSF_CW,CW - Subsurface flow - VSSF+HSSF,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,2,3,7,30,30,20,8.571428571,2,1,0,0,0,1,2,1,1,0,0,3,0,0,0,2,2,2,treatment,NA,NA,NA,NA,NA,NA,NA
VF_GW,Vertical flow green wall,GW,VF_GW,GW - Green wall with vertical flow,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,20.61,20.61,41.22,206.1,2.91,2.91,1.46,0.29112,2,3,3,0,0,2,1,3,1,3,1,3,0,1,1,3,3,1,treatment,NA,NA,NA,NA,NA,NA,NA
VSSF_CW,Vertical flow treatment wetland,CW,VSSF_CW,CW - Subsurface flow - Vertical Flow,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,2,10,60,60,30,6,2,1,0,0,0,1,2,1,1,0,0,3,0,1,0,2,2,2,treatment,NA,NA,NA,NA,NA,NA,NA
WS,Willow system,WS,WS,CW - zero discharge - Willow systems,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,15,15,30,70,4,4,2,0.857142857,2,2,0,2,0,3,3,2,2,3,0,0,0,1,0,2,2,1,treatment,NA,NA,NA,NA,NA,NA,NA
A_FWS,Aerated + free water surface wetland,MS,A_FWS,Combination of aearated and free water wetland designed for CSO wastewater,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,2,1000000,3,1000000,156.6153846,200,200,181.5384615,2,2,1,1,1,1,1,1,1,1,0,3,0,0,1,3,2,2,treatment,1,0.5,0.5,1.2,NA,NA,NA
WW,Hybrid living wall,GW,WW,Modular green wall combining vertical and horitzonal flow treatment units,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,13.9,13.9,26,115.64,5.63,5.63,3.51,1.337202857,2,2,3,0,0,1,1,3,0,3,1,3,0,1,1,3,3,2,treatment,NA,NA,NA,NA,NA,NA,NA
Phyto,Phytoparking,CW,Phyto,Underground natural wastewater treatment combined with parking space on top,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0.3,0.875,0.75,1000000,181.8,89.6,89.6,0,1,1,2,0,0,1,0,1,0,0,0,3,0,0,1,1,2,2,treatment,NA,NA,NA,NA,NA,NA,NA
RG-T,Rain garden with treatment,CW,RG-T,Bioswale to collect and treat road runoff,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1000000,1000000,1000000,1000000,0,0,0,0,2,2,2,2,3,1,2,3,2,3,0,3,0,1,0,1,2,1,treatment,NA,NA,NA,NA,NA,NA,NA
Rair_FrW,Rhizosph'air aerated french wetland,CW,Rair_FrW,Rhizosph'air aerated french wetland,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0.5,1,1,1.5,60,0,80,120,2,1,1,0,0,1,1,2,1,0,0,3,0,0,1,2,2,2,treatment,NA,NA,NA,NA,NA,NA,NA
VF-RPS,Vertical flow wetland with recycle and partial saturation,CW,VF-RPS,Vertical flow wetland with recycle and partial saturation,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1.5,1000000,1000000,1000000,60,0,0,120,1,1,1,0,0,1,2,2,1,1,0,3,0,1,1,2,2,2,treatment,NA,NA,NA,NA,NA,NA,NA
GR_ER,Green roof,Extensive green roof,NA,Roofs that are covered with a lightweight layer with a shallow growing medium.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,3,2,2,3,1,3,1,1,1,1,1,2,1,0,swm,0,0.5,0.5,0.1,36,36,€/m2
GR_IR,Green roof,Intensive green roof,NA,Roofs that have deep that can support a wide variety of plantings.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,2,3,3,3,3,1,1,1,1,1,3,1,0,swm,0,0.5,0.5,0.15,408.17,408.17,€/m2
GR_IRR,Green roof,Intensive green roof with retention layer,NA,Roofs that have deep substrates that can support a wide variety of plantings and incorporate an extra retention layer.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,2,3,3,3,3,1,1,1,1,1,3,1,0,swm,0,0.88,0.92,0.15,408.17,408.17,€/m2
IS_IT,Infiltration systems,Infiltration trench,NA,Linear excavations filled with gravel or stone that create temporary subsurface storage of stormwater runoff.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,3,1,1,2,1,1,1,1,1,1,1,2,2,0,swm,1,0.451,0.451,1.5,78,78,€/m2
IS_IBl,Infiltration systems,Infiltration blanket,NA,Large shallow systems that are typically constructed using permeable aggregate or geocellular units that act as extensive soakaway systems.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,3,1,1,2,2,2,1,1,1,0,1,1,2,0,swm,1,0.05,0.05,1,NA,NA,€/m2
IS_IBa,Infiltration systems,Infiltration basin,NA,Flat-bottomed shallow landscape depressions that store runoff before infiltration into the subsurface soils.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,2,1,2,2,2,1,1,1,0,1,2,2,0,swm,1,0.18,0.19,5,65,65,€/m2
FS_FS,Filter strips,Filter strips,NA,Area uniformly graded and gently sloping strips of grass or other dense vegetation that are designed to treat runoff from adjacent impermeable areas.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,3,1,2,2,2,2,1,1,1,0,1,1,1,0,swm,1,0,0,0.5,411.25,411.25,€/m2
S_CAS,Swales,Conveyance and attenuation swale,NA,Conveyance and attenuation swales act similar to a pipeline in that they collect and carry surface water to the next stage in the SuDS management train.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,3,1,1,2,1,1,1,1,1,0,1,1,1,0,swm,1,0,0,0.5,29.16,29.16,€/m2
S_WS,Swales,Wet swale,NA,Wet swales are specifically designed to provide wet or boggy conditions at their base.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,3,3,1,1,2,1,2,1,1,1,0,1,3,1,0,swm,1,0,0,0.4572,7.295,22.345,€/m2
BS_RG,Bioretention systems,Rain garden,NA,Rain gardens are small bioretention systems that serve part of a single property.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,3,1,1,2,1,2,1,1,1,1,1,1,1,0,swm,1,0.4,0.4,0,103,103,€/m2
BS_RP,Bioretention systems,Raised planter,NA,Raised planters are boxed systems constructed above the surrounding ground surface with a planted soil mix and an underdrain to collect the filtered water.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,3,3,2,2,2,3,2,3,3,1,1,1,2,1,0,swm,0,0.3,0.3,0.25,9.89,9.89,€/m2
BS_BTP,Bioretention systems,Bioretention tree pit,NA,A bioretention tree pit is a street tree pit with enhanced performance achieved through extra surface planting and soil amendments.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,3,2,1,3,1,2,1,1,1,1,1,1,1,0,swm,1,0.1,0.28,0,62.5,225,€/m2
BS_BS,Bioretention systems,Bioretention swale (or trench),NA,A bioretention swale is a shallow and vegetated depression with sloped sides that is located within the base of a swale.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,2,1,2,1,2,1,1,1,0,1,2,1,0,swm,1,0.47,0.47,0.25,130.75,130.75,€/m2
BS_ABS,Bioretention systems,Anaerobic bioretention system,NA,A bioretention system that has the outlet pipe designed so that there is a permanent water level within the drainage layer to create an anaerobic environment at the bottom of the system.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,3,2,1,3,1,3,1,2,1,1,1,2,1,0,swm,0,NA,NA,0.25,NA,NA,€/m2
T_T,Trees,Trees,NA,Trees detain water in their canopies and enhance infiltration in their pits.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,1,3,3,2,1,1,1,1,1,2,1,0,swm,1,0.1,0.28,3,62.5,225,€/m2
PP_MoPeP,Pervious pavements,Modular permeable paving,NA,A type of permeable paving that consists of modular units that are laid on a permeable base and sub-base.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,1,1,2,2,1,1,1,1,1,1,1,2,0,swm,1,0.19,0.19,0.25,35,35,€/m2
PP_GR,Pervious pavements,Grass reinforcement,NA,A type of ground protection that uses plastic or concrete grids infilled with grass or gravel to create a load-bearing grass reinforced surface.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,1,1,3,3,2,1,1,1,1,1,2,1,0,swm,1,0.95,0.95,0.25,10.53,10.53,€/m2
DB_DB,Detention basins,Detention basin,NA,Detention basins are landscaped depressions that are normally dry except during and immediately after storm events.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,2,3,3,3,1,1,1,0,1,3,3,0,swm,1,0.14999926,0.14999926,2,76,76,€/m2
PW_PW,Ponds and wetlands,Pond,NA,Ponds are features with a permanent pool of water that provide both attenuation and treatment of surface water runoff.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,2,3,3,3,1,1,1,0,1,2,1,0,swm,1,0.46497015,0.46497015,1.46,68.2,68.2,€/m2
PW_PR,Ponds and wetlands,Pond retrofits,NA,It is the improvement or adaptation of an existing pond to function as a Sustainable Urban Drainage System (SUDS).,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,1,1,1,0,1,2,3,0,swm,1,0.46497015,0.46497015,1.46,112.42,112.42,€/m2
