id,name,type,sub_type,description,image,link,vertical,c_removal,n_removal_nitrification,n_removal_nitrateremoval,p_removal,pathogens_reduction,raw_domestic_wastewater,pretreated_domestic_wastewater,greywater,secondary_treated_wastewater,cso_discharge_water,river_diluted_wastewater,offices_wastewater,camping_wastewater,m2_pe_tropical,m2_pe_dry,m2_pe_temperate,m2_pe_continental,gr_bod_m2_tropical,gr_bod_m2_dry,gr_bod_m2_temperate,gr_bod_m2_continental,es_biodiversity_fauna,es_biodiversity_flora,es_temperature_regulation,es_flood_mitigation,es_cso_mitigation,es_carbon_sequestration,es_biomass_production,es_aesthetic_value,es_recreation,es_pollination,es_food_source,es_water_reuse,es_biosolids,household_building_solutions,energy,inv_es_manpower,inv_es_skills,inv_es_biohazard,factsheet_filenames
IA_CW,Aerated treatment wetland,CW,IA_CW,CW - Intensified wetlands - Aerated engineered wetland,9 AERATED TREATMENT WETLAND.png,NA,0,1,1,1,0,1,2,1,1,0,0,0,2,2,0.33,0.33,0.67,0.33,181.8181818,181.8181818,89.55223881,181.8181818,1,1,0,0,0,1,2,1,1,0,0,3,0,1,1,3,2,3,13_Aerated treatment wetland.pdf
AP+FP_PL,Anaerobic + facultative pond,MS,AP+FP_PL,Multistage Wastewater stabilization ponds/lagoons - Anaerobic+Facultative,34_ANAEROBIC + FACULTATIVE.png,NA,0,1,1,1,0,1,1,1,0,0,0,0,1,1,5,5,7,1000000,12,12,8.571428571,6e-5,2,1,1,0,0,0,0,1,1,0,0,2,2,0,0,1,1,2,NA
AP+FP+MP_PL,Anaerobic + maturation pond,MS,AP+FP+MP_PL,Multistage Wastewater stabilization ponds/lagoons - Anaerobic+Facultative+Maturation,33_ANAEROBIC + MATURATION.png,NA,0,1,1,1,0,1,1,1,0,0,0,0,1,1,5,5,7,1000000,12,12,8.571428571,6e-5,2,1,1,0,0,0,0,1,1,0,0,3,2,0,0,1,1,2,NA
AP_PL,Anaerobic pond,PL,AP_PL,Wastewater stabilization ponds/lagoons - Anaerobic,18_ANAEROBIC POND_.png,NA,0,1,0,1,0,1,1,1,0,0,0,0,1,1,5,5,7,1000000,12,12,8.571428571,6e-5,2,1,1,0,0,0,0,1,1,0,0,1,2,0,0,1,1,2,07_ Anaerobic.pdf
A_HA,Aquaponic system,HA,A_HA,Aquaponics,16 AQUAPONIC SYSTEM.png,NA,0,1,1,1,1,0,0,0,0,2,0,1,0,0,0.5,0.5,0.5,0.5,120,120,120,120,0,0,0,0,0,2,0,1,0,0,3,3,2,1,1,3,3,1,24_ Aquaponics.pdf
FP+MP_PL,Facultative + maturation pond,MS,FP+MP_PL,Multistage Wastewater stabilization ponds/lagoons - Facultative+Maturation,35_FACULTATIVE + MATURATION.png,NA,0,1,1,0,0,1,1,1,1,1,0,0,1,1,7,7,10,1000000,8.571428571,8.571428571,6,6e-5,2,1,1,0,0,1,0,1,1,0,0,3,1,0,0,1,1,2,NA
FP_PL,Facultative pond,PL,FP_PL,Wastewater stabilization ponds/lagoons - Facultative,19_FACULTATIVE POND_.png,NA,0,1,1,1,0,1,1,1,0,0,0,0,1,1,7,7,10,1000000,8.571428571,8.571428571,6,6e-5,2,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,2,05_ Facultative.pdf
FP_P/L+FWS_CW,Facultative pond + Free water surface flow constructed wetland,MS,FP_P/L+FWS_CW,Multistage Facultative pond + Free Water Surface Constructed Wetland,31_FACULTATIVE + FREE WATER.png,NA,0,1,1,0,0,1,1,1,1,1,0,0,1,1,7,7,10,1000000,8.571428571,8.571428571,6,6e-5,2,3,1,2,0,3,2,3,2,2,0,3,1,0,0,2,1,2,NA
FWS_CW,Free water surface treatment wetland,CW,FWS_CW,CW - Surface flow - Free water systems,7_FREE WATER SURFACE TREATMENT WETLAND.png,NA,0,1,1,1,0,1,0,2,1,1,0,0,0,0,3,3,6,10,20,20,10,6,3,3,1,2,0,2,3,3,2,2,0,3,0,0,0,2,2,2,16_Free water surface treatment wetland.pdf
French_CW,French vertical flow treatment wetland,CW,French_CW,CW - Subsurface flow - French reed beds,3_FRENCH VERTICAL FLOW WETLAND.png,NA,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0.5,0.5,2,2,120,120,30,30,2,1,0,0,1,1,2,1,1,0,0,3,3,1,0,2,2,3,10_French vertical flow wetlands.pdf
GR,Rooftop treatment wetland,GR,GR,CW - subsurface flow - Rooftop wetlands,5_ROOFTOP TREATMENT WETLAND.png,NA,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,2,10,60,60,30,6,2,3,3,0,2,2,1,3,1,3,1,3,0,1,1,3,3,2,22_Rooftop treatment wetland.pdf
HF_GW,Horizontal flow green wall,GW,HF_GW,GW - Green wall with horizontal flow,6_LIVING WALLS for GREYWATER TREATMENT.png,NA,1,1,0,1,0,1,0,0,1,1,0,0,0,0,7.19,7.19,10.79,25.18,8.34,8.34,5.56,2.383285714,2,3,3,0,0,2,1,3,1,3,1,3,0,1,1,3,3,1,NA
HSSF_CW,Horizontal flow treatment wetland,CW,HSSF_CW,CW - Subsurface flow - Horizontal flow,2_HORIZONTAL FLOW_WETLANDS.png,NA,0,1,0,1,0,1,0,1,1,1,0,0,0,0,2,2,3,7,30,30,20,8.571428571,2,1,0,0,0,1,2,1,1,0,0,3,0,1,0,1,1,1,12_Horizontal flow wetlands.pdf
HSSF_CW+MP_PL,Horizontal flow treatment wetland + maturation pond,MS,HSSF_CW+MP_PL,Multistage Wastewater Subsurface horizontal CW + Maturation pond,32_HF + MATURATION POND.png,NA,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,2,3,7,30,30,20,8.571428571,2,1,1,0,0,1,2,1,1,0,0,3,1,0,0,1,1,2,19_Multistage wetland.pdf
H_HA,Hydroponic system,HA,H_HA,Hydroponics,30_HYDROPONIC SYSTEM.png,NA,0,0,1,1,1,0,0,0,0,2,0,1,0,0,0.5,0.5,0.5,0.5,120,120,120,120,0,0,0,0,0,2,0,1,0,0,3,3,1,1,1,3,3,1,23_ Hydroponics.pdf
I-SRS,In-stream restoration,I-SRS,I-SRS,Instream retention systems,28_IN-STREAM RESTORATION.png,NA,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0.05,0.05,0.05,0.05,1200,1200,1200,1200,3,3,0,3,0,2,1,3,3,0,2,0,0,0,0,1,2,1,25_In stream restoration.pdf
MP_PL,Maturation pond,PL,MP_PL,Wastewater stabilization ponds/lagoons - Maturation,20_MATURATION POND_.png,NA,0,1,0,0,0,1,0,0,0,1,0,0,0,0,7,7,10,1000000,8.571428571,8.571428571,6,6e-5,2,1,1,0,0,1,0,1,1,0,0,3,1,0,0,1,1,1,06_ Maturation.pdf
NW,Natural wetland,NW,NW,Natural Wetland,23_NATURAL WETLAND_.png,NA,0,1,1,1,1,1,0,0,0,1,0,0,0,0,3,3,6,10,20,20,10,6,3,3,1,3,3,3,3,3,3,2,3,3,0,0,0,1,1,2,17_Natural wetland.pdf
SIS_S,Rapid-rate soil  infiltration system,SIS,SIS_S,Infiltration or soil-based treatment systems - Slow,26_RAPID INFILTRATION LAND TREATMENT.png,NA,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0.5,0.5,0.5,0.5,120,120,120,120,1,1,1,0,1,0,0,1,0,0,0,3,0,1,1,2,2,1,02_Rapid infiltration.pdf
IRM_CW,Reactive media in treatment wetland,CW,IRM_CW,CW - Intensified wetlands - Reactive Media,10_REACTIVE MEDIA_in TREATMENT WETLANDS.png,NA,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,2,10,60,60,30,6,2,1,0,0,0,1,2,1,1,0,0,3,0,1,0,2,2,1,15_Reactive media in treatment wetlands.pdf
R_CW,Reciprocating treatment wetland,CW,R_CW,CW - Intensified wetlands - Recirculation/Tidal,11_RECIPROCATING TREATMENT WETLANDS.png,NA,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1.5,1.5,3,15,40,40,20,4,2,1,0,0,0,1,2,1,1,0,0,3,0,1,1,3,2,2,14_Reciprocating treatment wetlands.pdf
SIS_R,Slow-rate soil infiltration system,SIS,SIS_R,Infiltration or soil-based treatment systems - Rapid,27_SLOW RATE_LAND TREATMENT.png,NA,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0.5,0.5,0.5,0.5,120,120,120,120,1,1,1,0,1,0,0,1,0,0,0,3,0,1,0,1,1,1,01_Slow rate.pdf
IA_PL,Surface aerated pond,PL,IA_PL,Wastewater stabilization ponds/lagoons - Intensified aeration,21_SURFACE AERATED POND.png,NA,0,1,1,0,0,1,1,1,2,1,0,0,1,1,3,3,5,1000000,20,20,12,6e-5,1,1,0,0,0,1,0,1,1,0,0,3,3,0,1,3,2,3,04_Surface aerated.pdf
CSO_CW,Treatment wetland for CSO,CW,CSO_CW,CW - Subsurface flow - CSO wetlands,4_TREATMENT WETLAND for COMBINED SEWER OVERFLOW.png,NA,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0.3,0.3,0.3,0.3,200,200,200,200,2,1,0,0,3,1,2,1,1,0,0,3,0,1,0,2,2,2,11_Treatment wetland for CSO.pdf
VSSF+HSSF_CW,Vertical flow + Horizontal flow treatment wetland,MS,VSSF+HSSF_CW,CW - Subsurface flow - VSSF+HSSF,36_VF+HF.png,NA,0,1,1,1,0,1,0,1,0,0,0,0,0,0,2,2,3,7,30,30,20,8.571428571,2,1,0,0,0,1,2,1,1,0,0,3,0,0,0,2,2,2,19_Multistage wetland.pdf
VF_GW,Vertical flow green wall,GW,VF_GW,GW - Green wall with vertical flow,6_LIVING WALLS for GREYWATER TREATMENT.png,NA,1,1,1,0,0,1,0,0,1,1,0,0,0,0,20.61,20.61,41.22,206.1,2.91,2.91,1.46,0.29112,2,3,3,0,0,2,1,3,1,3,1,3,0,1,1,3,3,1,NA
VSSF_CW,Vertical flow treatment wetland,CW,VSSF_CW,CW - Subsurface flow - Vertical Flow,1_VERTICAL FLOW _WETLANDS.png,NA,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,2,10,60,60,30,6,2,1,0,0,0,1,2,1,1,0,0,3,0,1,0,2,2,2,09_Vertical Flow wetlands.pdf
WS,Willow system,WS,WS,CW - zero discharge - Willow systems,13_WILLOW SYSTEM.png,NA,0,1,1,1,1,1,0,1,1,1,0,0,0,0,15,15,30,70,4,4,2,0.857142857,2,2,0,2,0,3,3,2,2,3,0,0,0,1,0,2,2,1,03_Willow systems.pdf
A_FWS,Aerated + free water surface wetland,MS,A_FWS,Combination of aearated and free water wetland designed for CSO wastewater,NA,NA,0,1,1,1,0,1,0,1,1,1,1,1,1,1,2,1000000,3,1000000,156.6153846,200,200,181.5384615,2,2,1,1,1,1,1,1,1,1,0,3,0,0,1,3,2,2,NA
WW,Hybrid living wall,GW,WW,Modular green wall combining vertical and horitzonal flow treatment units,NA,NA,1,1,1,1,0,0,0,0,1,1,0,0,0,0,13.9,13.9,26,115.64,5.63,5.63,3.51,1.337202857,2,2,3,0,0,1,1,3,0,3,1,3,0,1,1,3,3,2,NA
Phyto,Phytoparking,CW,Phyto,Underground natural wastewater treatment combined with parking space on top,NA,NA,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0.3,0.875,0.75,1000000,181.8,89.6,89.6,0,1,1,2,0,0,1,0,1,0,0,0,3,0,0,1,1,2,2,NA
RG-T,Rain garden with treatment,CW,RG-T,Bioswale to collect and treat road runoff,NA,NA,0,1,1,0,1,0,0,0,2,0,0,0,0,0,1000000,1000000,1000000,1000000,0,0,0,0,2,2,2,2,3,1,2,3,2,3,0,3,0,1,0,1,2,1,NA
Rair_FrW,Rhizosph'air aerated french wetland,CW,Rair_FrW,Rhizosph'air aerated french wetland,NA,NA,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0.5,1,1,1.5,60,0,80,120,2,1,1,0,0,1,1,2,1,0,0,3,0,0,1,2,2,2,NA
VF-RPS,Vertical flow wetland with recycle and partial saturation,CW,VF-RPS,Vertical flow wetland with recycle and partial saturation,NA,NA,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1.5,1000000,1000000,1000000,60,0,0,120,1,1,1,0,0,1,2,2,1,1,0,3,0,1,1,2,2,2,NA
